datetime,CODNEG,adj_close
2000-01-05,ABEV3,0.0983
2000-01-06,ABEV3,0.0933
2000-01-07,ABEV3,0.0933
2000-01-10,ABEV3,0.0933
2000-01-11,ABEV3,0.0933
2000-01-12,ABEV3,0.0908
2000-01-13,ABEV3,0.0914
2000-01-14,ABEV3,0.0933
2000-01-17,ABEV3,0.0995
2000-01-18,ABEV3,0.0933
2000-01-19,ABEV3,0.0933
2000-01-20,ABEV3,0.0871
2000-01-21,ABEV3,0.0895
2000-01-24,ABEV3,0.0985
2000-01-25,ABEV3,0.0985
2000-01-26,ABEV3,0.0989
2000-01-27,ABEV3,0.0945
2000-01-28,ABEV3,0.0920
2000-01-31,ABEV3,0.0920
2000-02-01,ABEV3,0.0920
2000-02-02,ABEV3,0.0908
2000-02-03,ABEV3,0.0796
2000-02-04,ABEV3,0.0883
2000-02-07,ABEV3,0.0883
2000-02-08,ABEV3,0.0883
2000-02-09,ABEV3,0.0983
2000-02-10,ABEV3,0.0933
2000-02-11,ABEV3,0.0945
2000-02-14,ABEV3,0.0883
2000-02-15,ABEV3,0.0933
2000-02-16,ABEV3,0.0883
2000-02-17,ABEV3,0.0883
2000-02-18,ABEV3,0.0970
2000-02-21,ABEV3,0.0883
2000-02-22,ABEV3,0.0915
2000-02-23,ABEV3,0.0933
2000-02-24,ABEV3,0.0920
2000-02-25,ABEV3,0.0895
2000-02-28,ABEV3,0.0895
2000-02-29,ABEV3,0.0883
2000-03-01,ABEV3,0.0895
2000-03-02,ABEV3,0.0895
2000-03-03,ABEV3,0.0968
2000-03-06,ABEV3,0.0968
2000-03-07,ABEV3,0.0968
2000-03-08,ABEV3,0.0933
2000-03-09,ABEV3,0.0995
2000-03-10,ABEV3,0.0933
2000-03-13,ABEV3,0.0933
2000-03-14,ABEV3,0.0933
2000-03-15,ABEV3,0.0933
2000-03-16,ABEV3,0.0945
2000-03-17,ABEV3,0.0945
2000-03-20,ABEV3,0.0908
2000-03-21,ABEV3,0.0945
2000-03-22,ABEV3,0.0983
2000-03-23,ABEV3,0.1020
2000-03-24,ABEV3,0.1050
2000-03-27,ABEV3,0.1070
2000-03-28,ABEV3,0.1070
2000-03-29,ABEV3,0.0964
2000-03-30,ABEV3,0.1119
2000-03-31,ABEV3,0.1144
2000-04-03,ABEV3,0.1138
2000-04-04,ABEV3,0.1132
2000-04-05,ABEV3,0.1169
2000-04-06,ABEV3,0.1182
2000-04-07,ABEV3,0.1206
2000-04-10,ABEV3,0.1241
2000-04-11,ABEV3,0.1231
2000-04-12,ABEV3,0.1231
2000-04-13,ABEV3,0.1119
2000-04-14,ABEV3,0.1119
2000-04-17,ABEV3,0.1119
2000-04-18,ABEV3,0.1119
2000-04-19,ABEV3,0.1119
2000-04-20,ABEV3,0.1119
2000-04-21,ABEV3,0.1119
2000-04-24,ABEV3,0.1119
2000-04-25,ABEV3,0.1119
2000-04-26,ABEV3,0.1119
2000-04-27,ABEV3,0.1144
2000-04-28,ABEV3,0.1182
2000-05-01,ABEV3,0.1182
2000-05-02,ABEV3,0.1119
2000-05-03,ABEV3,0.1182
2000-05-04,ABEV3,0.1169
2000-05-05,ABEV3,0.1169
2000-05-08,ABEV3,0.1119
2000-05-09,ABEV3,0.1169
2000-05-10,ABEV3,0.1169
2000-05-11,ABEV3,0.1119
2000-05-12,ABEV3,0.1119
2000-05-15,ABEV3,0.1194
2000-05-16,ABEV3,0.1194
2000-05-17,ABEV3,0.1194
2000-05-18,ABEV3,0.1119
2000-05-19,ABEV3,0.1107
2000-05-22,ABEV3,0.1107
2000-05-23,ABEV3,0.1007
2000-05-24,ABEV3,0.1107
2000-05-25,ABEV3,0.0622
2000-05-26,ABEV3,0.1107
2000-05-29,ABEV3,0.1113
2000-05-30,ABEV3,0.1002
2000-05-31,ABEV3,0.1144
2000-06-01,ABEV3,0.1144
2000-06-02,ABEV3,0.1132
2000-06-05,ABEV3,0.1119
2000-06-06,ABEV3,0.1119
2000-06-07,ABEV3,0.1182
2000-06-08,ABEV3,0.1231
2000-06-09,ABEV3,0.1231
2000-06-12,ABEV3,0.1244
2000-06-13,ABEV3,0.0373
2000-06-14,ABEV3,0.0373
2000-06-15,ABEV3,0.1119
2000-06-16,ABEV3,0.1244
2000-06-19,ABEV3,0.1244
2000-06-20,ABEV3,0.1244
2000-06-21,ABEV3,0.1269
2000-06-22,ABEV3,0.1269
2000-06-23,ABEV3,0.1281
2000-06-26,ABEV3,0.1269
2000-06-27,ABEV3,0.1281
2000-06-28,ABEV3,0.1306
2000-06-29,ABEV3,0.1269
2000-06-30,ABEV3,0.1430
2000-07-03,ABEV3,0.1430
2000-07-04,ABEV3,0.1430
2000-07-05,ABEV3,0.1430
2000-07-06,ABEV3,0.1430
2000-07-07,ABEV3,0.1430
2000-07-10,ABEV3,0.1492
2000-07-11,ABEV3,0.1492
2000-07-12,ABEV3,0.1555
2000-07-13,ABEV3,0.1555
2000-07-14,ABEV3,0.1618
